,ID,site,coordinates,depth,country,biome,standard biome,aggregated biome,altitude,mean annual temperature,mean annual percipitation (mm yr^-1),"environment (soil,litter, trees)",aggregated environment,taxon,family,super-family,order,sub-class,class,sub-phylum,phylum,numerical value,standard deviation,units,reference,link (doi),source in text,season,date,remarks,studied group
13,16,Cat Tien National Park - Lagerstroemia forest,"11°25'43.0'' N, 107°25'38.7'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,149,26,2400,soil+litter,soil/litter,Arachnida,0,0,0,0,Arachnida,Chelicerata,Arthropoda,230.0,80.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
14,17,Cat Tien National Park - Lagerstroemia forest,"11°25'43.0'' N, 107°25'38.7'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,149,26,2400,soil+litter,soil/litter,Myriapoda,0,0,0,0,0,Myriapoda,Arthropoda,800.0,220.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
15,18,Cat Tien National Park - Lagerstroemia forest,"11°25'43.0'' N, 107°25'38.7'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,149,26,2400,soil+litter,soil/litter,Isopoda,0,0,Isopoda,Eumalacostraca,Malacostraca,Crustacea,Arthropoda,30.0,10.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
16,19,Cat Tien National Park - Lagerstroemia forest,"11°25'43.0'' N, 107°25'38.7'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,149,26,2400,soil+litter,soil/litter,Insecta,0,0,0,0,Insecta,Hexapoda,Arthropoda,8200.0,1600.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
17,20,Cat Tien National Park - Riparian dipterocarp forest,"11°26'48.2'' N, 107°26'26.2'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,137,26,2400,soil+litter,soil/litter,Arachnida,0,0,0,0,Arachnida,Chelicerata,Arthropoda,1000.0,400.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
18,21,Cat Tien National Park - Riparian dipterocarp forest,"11°26'48.2'' N, 107°26'26.2'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,137,26,2400,soil+litter,soil/litter,Myriapoda,0,0,0,0,0,Myriapoda,Arthropoda,650.0,260.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
19,22,Cat Tien National Park - Riparian dipterocarp forest,"11°26'48.2'' N, 107°26'26.2'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,137,26,2400,soil+litter,soil/litter,Isopoda,0,0,Isopoda,Eumalacostraca,Malacostraca,Crustacea,Arthropoda,130.0,30.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
20,23,Cat Tien National Park - Riparian dipterocarp forest,"11°26'48.2'' N, 107°26'26.2'' E",0,Vietnam,semideciduous monsoon forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,137,26,2400,soil+litter,soil/litter,Insecta,0,0,0,0,Insecta,Hexapoda,Arthropoda,2600.0,600.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
21,24,Bi Dup-Nui Ba Nature Reserve - Mountain pine forest,"12°02'41.3'' N, 108°21'48.7'' E",0,Vietnam,mountain coniferous forest,Tropical and Subtropical Coniferous Forests,Tropical and Subtropical Forests,1400,20,1800,soil+litter,soil/litter,Arachnida,0,0,0,0,Arachnida,Chelicerata,Arthropoda,130.0,40.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
22,25,Bi Dup-Nui Ba Nature Reserve - Mountain pine forest,"12°02'41.3'' N, 108°21'48.7'' E",0,Vietnam,mountain coniferous forest,Tropical and Subtropical Coniferous Forests,Tropical and Subtropical Forests,1400,20,1800,soil+litter,soil/litter,Myriapoda,0,0,0,0,0,Myriapoda,Arthropoda,380.0,140.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
23,26,Bi Dup-Nui Ba Nature Reserve - Mountain pine forest,"12°02'41.3'' N, 108°21'48.7'' E",0,Vietnam,mountain coniferous forest,Tropical and Subtropical Coniferous Forests,Tropical and Subtropical Forests,1400,20,1800,soil+litter,soil/litter,Isopoda,0,0,Isopoda,Eumalacostraca,Malacostraca,Crustacea,Arthropoda,90.0,30.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
24,27,Bi Dup-Nui Ba Nature Reserve - Mountain pine forest,"12°02'41.3'' N, 108°21'48.7'' E",0,Vietnam,mountain coniferous forest,Tropical and Subtropical Coniferous Forests,Tropical and Subtropical Forests,1400,20,1800,soil+litter,soil/litter,Insecta,0,0,0,0,Insecta,Hexapoda,Arthropoda,6600.0,2100.0,mg/m^2 (wet weight),Anichkin et al. 2007,https://doi.org/10.1134/S1062359007050135,table 4,0,0,0,
25,28,harviala-MT,"61° 00' N, 24° 40' E",0,Finland,taiga,Boreal Forests/Taiga,Boreal Forests/Taiga,150,3.9,503,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,13.0,0.0,individuals/m^2,"Huhta & Koskenniemi, 1975",http://www.jstor.org/stable/23731754,table 4,0,0,0,
26,29,oulanka-HMT,"66° 20' N, 29° 20' E",0,Finland,taiga,Boreal Forests/Taiga,Boreal Forests/Taiga,260,0,518,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,2.3,0.0,individuals/m^2,"Huhta & Koskenniemi, 1975",http://www.jstor.org/stable/23731754,table 4,0,0,0,
27,32,"Mediterranean Forests, Woodlands and Scrub",0,0,0,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,5300.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera
28,33,eucalyptus / acaia,0,0,0,semi-arid woodland,"Mediterranean Forests, Woodlands and Scrub","Mediterranean Forests, Woodlands and Scrub",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,5300.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera
29,34,Andersby ?ngsbackar,"60°09' N, 17°49' E","45 ס""מ",sweden,Deciduous Woodland,Temperate Broadleaf and Mixed Forests,Temperate Forests,25-35,5.5,570,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,38.0,0.0,individuals/m^2,"Axelsson et al., 1984",https://www.jstor.org/stable/pdf/3682254.pdf?refreqid=excelsior%3A82459ce5086740807e3c816fc83ef2d0,table 5,0,0,0,
30,35,Andersby ?ngsbackar,"60°09' N, 17°49' E","45 ס""מ",sweden,Deciduous Woodland,Temperate Broadleaf and Mixed Forests,Temperate Forests,25-35,5.5,570,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,52.0,0.0,mg/m^2 (dry weight),"Axelsson et al., 1984",https://www.jstor.org/stable/pdf/3682254.pdf?refreqid=excelsior%3A82459ce5086740807e3c816fc83ef2d0,table 5,0,0,0,
31,36,Coweeta Hydrologic Laboratory,"43° 56' 42'' N, 71° 43' 11'' W",0,"North Carolina, USA",temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,726,0-21,1821,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,14.0,0.0,individuals/m^2,"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,
32,37,Coweeta Hydrologic Laboratory,"43° 56' 42'' N, 71° 43' 11'' W",0,"North Carolina, USA",temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,726,0-21,1821,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,6100.0,0.0,mg/m^2 (wet weight),"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,
33,38,Coweeta Hydrologic Laboratory,"43° 56' 42'' N, 71° 43' 11'' W",0,"North Carolina, USA",temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,726,0-21,1821,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,3170.0,0.0,mg/m^2 (dry weight),"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,
34,39,"Oak Ridge, Tennesse","35°59'18'' N, 84°17'11'' W",0,"Tennesse, USA",temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,0,0,0,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,39.0,0.0,individuals/m^2,"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,
35,40,"Oak Ridge, Tennesse","35°59'18'' N, 84°17'11'' W",0,"Tennesse, USA",temperate deciduous forest,Temperate Broadleaf and Mixed Forests,Temperate Forests,0,0,0,litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,250.0,0.0,mg/m^2 (dry weight),"Gist & Crossley, 1975",http://www.jstor.org/stable/2424109,table 3,0,0,0,
